Title,Date,"Bible Passage",Content,enclosure,Powerpoint,Categories,Series,podPressMedia
"1 Corinthians 9: Winners and Losers",2007-05-05,,,"http://repo.neofreedom.org/public/audio/podcasts/1cor09b.mp3
11115485
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:5:""70:41"";s:8:""explicit"";s:0:"""";}",https://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor09b%20Winners%20and%20Losers.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 10: Stand or Fall",2007-05-12,,,"http://repo.neofreedom.org/public/audio/podcasts/1cor10.mp3

audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",https://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor10a%20Avoiding%20Disqualification.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 11: The Power of Fellowship",2007-06-02,,,"http://repo.neofreedom.org/public/audio/podcasts/1cor11.mp3
10965047
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:5:""57:43"";s:8:""explicit"";s:0:"""";}",https://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor11b%20Koinonia.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 12: Experiencing Spiritual Life",2007-06-16,,"
",http://repo.neofreedom.org/public/audio/podcasts/1cor12.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor12a.ppt,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 12: Gifts-Ministries-Effects",2007-06-23,,"
",http://repo.neofreedom.org/public/audio/podcasts/1cor12b.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor12b.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 12: The Nature of the Church",2007-06-30,,"<a href=""https://neofreedom.org/podcasts/files/Waiting-for-Godot.jpg""><img class=""alignleft size-medium wp-image-1636"" title=""Waiting for Godot"" src=""https://neofreedom.org/podcasts/files/Waiting-for-Godot-186x300.jpg"" alt="""" width=""186"" height=""300"" /></a>Beckett's famous play depicts the emptiness of a life always spent waiting and waiting ""for Godot"". It was a critique of the Christians wasted their lives waiting for a future that never comes.

But the opposite should be true: Christ has established us in the here-and-now world of excitement, adventure and great dignity. To work building the Kingdom of God is the most concrete and loving of all possible lifestyles. Paul shows us why the church so much different than the cold, money-driven World System.

&nbsp;

&nbsp;

&nbsp;

&nbsp;

<a href=""http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor12c.pptx"">Download Powerpoint</a>

",http://repo.neofreedom.org/public/audio/podcasts/1cor12c.mp3,,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 13: A Still Better Way",2007-07-07,,"

",http://repo.neofreedom.org/public/audio/podcasts/1cor13a.mp3,http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor13aLove.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"1 Corinthians 13: The Greatest of These",2007-07-21,,"What Paul reveals in this chapter is nothing short of astounding: the inner-workings of love, as designed by God. In doing so he reveals the inner-workings of God:
<blockquote>For now we see in a mirror dimly, but then face to face; now I know in part, but then I will know fully just as I also have been fully known. <cite>1 Corinthians 13:12</cite></blockquote>
Love is not complex. It is refreshingly simple, as God designed it: it involves replacing our immature <em>Love Demands</em> for mature love. Read the related neozine article ""<a href=""https://jfusa.net/zine/?listing=the-tragedy-and-beauty-of-love-2"">The Tragedy and Beauty of Love</a>"" which expands this topic in-depth.

<a href=""http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor13b.pptx"">Download Powerpoint</a>
",http://repo.neofreedom.org/public/audio/podcasts/xt070721-new.mp3,,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
"Daniel 9: Easter in History",2007-04-11,,"“Where is God?” people ask, but God has already answered the question. He has been engaged in human history, and He lives today! Not only that, but He offers an abundance of proof! Study the Old Testament prophecies and their fulfillment with us as we consider the historicity of the Resurrection.","http://neofreedom.net/repo/media/neoct/dan09_2007-new.mp3
13545015
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";N;s:6:""author"";N;s:6:""length"";s:5:""56:26"";s:8:""explicit"";s:0:"""";}
",,"Central Teachings>Old Testament>Daniel",,
"1 Corinthians 9: A Different View Of Freedom",2007-04-28,,,"http://repo.neofreedom.org/public/audio/podcasts/1cor09.mp3
9451744
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:5:""52:31"";s:8:""explicit"";s:0:"""";}",https://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor09a-A%20Different%20View%20of%20Rights.pptx,"Central Teachings>New Testament>1 Corinthians","1 Corinthians",
